MD5,text,enabled
5e9afa84556d1237a1d7e7c2ae4b21b5,"#Ishtar #ransomware (2.21.2017)
",TRUE
b26ac495d58bacf4b037e9258ff91da0,"#ursnif from http://cm40310.tmweb.ru/2004.exev
",TRUE
cab21b0870cfc4413b7db6ea5d693f90,"#nanocore #netwire #upx #rat (2.21.2017)
",TRUE
5303a55156dc071f51c9099c4c06d835,#Sage #ransomware 2.2 (2.21.2017),TRUE
994c4378a7298f49c660844698a83460,"#BlueShades #RAT (2.14.2017)
",TRUE
41d2f1469027b7aacfcd6460f175c237,"#Screenlocker malware (2.14.2017)
",TRUE
bfa552de56704de4d6d34da24bb4f0a9,"#Open-source based ransomware (2.14.2017)
",TRUE
1b453a85fd2b7f4ed7a42ff2aa5c0f76,"#Open-source based ransomware (2.14.2017)
",TRUE
68b1904bb28dd0b8d928af8c9e527f03,"#Open-source based ransomware (2.14.2017)
",TRUE
c3c843cd0f88739a884ff9f9572532ef,"#UnlockCode=pabluk400 (2.14.2017)
",TRUE
3cb2c3ce48ac870ab0be9afb7233295f,"#Sage 2 #ransomware (2.14.2017)
",TRUE
1be6162dd184b244bffb9dab568aff29,"#AutoIt #rat script (2.14.2017)
",TRUE
9d36daa6e5f6f29be9612a432ff0424f,"#AutoIt #rat script (2.14.2017)
",TRUE
df5a04410dc50b6aa23e4ada70d8ed13,"#vawtrak (2.14.2017)
",TRUE
5615de956e068bf2c97f276c57e96d3a,"#fake hacking tool (2.14.2017)
",TRUE
7963bcb649e234420360ca7ab6ef0ac0,"#fake hacking tool (2.14.2017)
",TRUE
a7bba764a225f0915cc173d76b5e2bff,"#Chrome #cookie #stealer (2.14.2017)
",TRUE
3cdbca83161d00278d6fb267b786d9b7,"#Osiris variant (2.14.2017)
",TRUE
ff33d2fc9ccbb92579f6853980e6b46a,"#In-dev ransomware/screenlocker (2.14.2017)
",TRUE
282ea580aa39e41bbbbd2cbdfb6c447e,"Poorly named #antivirus driver  (2.14.2017)
",TRUE
425e0379ab21430bd56f585d42cd3ade,"#quasar sample (2.14.2017)
",TRUE
3fe1c21385c7af444f166b312f915378,"#Hastecrypt, #downlolader (2.14.2017)
",TRUE
e74850e7f933223ee5160eaf0eede59d,"#Hastecrypt, #downlolader (2.14.2017)
",TRUE
b687f993adeb47bfadbe606a95e84a09,"#IRC #banker #botnet  (2.14.2017)
",TRUE
c9e0bcdc00aefcb03da3b4a2224fb80b,"#CyberSplitterVBS #ransomware (2.14.2017)
",TRUE
5ec9ed707fcaca19ed9ddf3a98a88db5,"#JobCrypter #ransomware (2.14.2017)
",TRUE
3a83cd9cd692044b4270c7c2023fb834,"#JobCrypter #ransomware (2.14.2017)
",TRUE
25fa1b7006e03a4a1e4733ef74d30125,"#JobCrypter #ransomware (2.14.2017)
",TRUE
75ad99fc04cbc022d087e06127a48dc1,"#zloader (2.14.2017)
",TRUE
9c7c7149387a1c79679a87dd1ba755bc,"#Wcry #Ransomware (2.14.2017)
",TRUE
1b5e119548cc801a07d0290cff519813,#Zeus downloader (2.14.2017),TRUE
208a9b15792912afc9e615bab6c5f5a7,#http keylogger (2.14.2017),TRUE
51cdf93e80704441f35d59c40d2abd91,"#SteamElite #stealer
",TRUE
cc56b2ca2a3cb17cad08aa8df5b37b99,"#CyberSplitterVBS #ransomware
",TRUE
6f6c476bd90b09b81a099cad8f89f5aa,"#CyberSplitterVBS #ransomware
",TRUE
ba1a75c8fac598891b5496adaf6fd7c5,#remake of plasma http,TRUE
ffc54c35a6961e8dffd4fd91be2d5a3d,"#ImminentMonitor #RAT (2.10.2017)
",TRUE
b2db0d1d3a97941880b3b719955990e8,"Миша #ransomware (2.10.2017)
",TRUE
ffce36f132683b726a709d085b500e3b,"#pony #ransomware #hyteod #locky #cerber (2.10.2017)
",TRUE
72590e5eb8227cfd8c6ebf434197bc7f,"#cirhashbot (2.10.2017)
",TRUE
4a80e4372050e3878ed81c5f09a61826,"#darkComet  (2.10.2017)
",TRUE
3b5622c6fd638457706170f9e1e12221,"#Cancer #Ransomware (2.10.2017)
",TRUE
d5c9d0602918befe7652e01488b6906d,"hancidoc pony zloader (2.10.2017)
",TRUE
a47e6627f3e90c160fecad88b8135acb,#Dridex (2.10.2017),TRUE
7c4b337aa4b9dc206448f1fab1ebe6bd,"#ransomware #locky (2.10.2017)
",TRUE
52d309c23797d74112a189ce5bc2e504,"#andromeda #gamarue (2.10.2017)
",TRUE
64842901c272fc0f38c0fecc65f78a98,"screenlocker-unlock code GTX-125-980 (2.10.2017)
",TRUE
8102289c4bb4f0683f56701911252b11,"bitcoin to: ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789 (2.10.2017)
",TRUE
88705d81dc5332a2ec592ac5a528bec4,"#Gozi ISFB #Ursnif (2.10.2017)
",TRUE
c0d6e5adaa181181c8bedbdc558bdd42,"#cryptolocker (2.10.2017)
",TRUE
7acb33e7b74de83e5ad6ddb6d2e7863e,"pony-like /cre/ infostealer (2.10.2017)
",TRUE
96245c8d49ef0f7bd053ffaef9ea9185,"#zloader (2.10.2017)
",TRUE
706bacf4a6c8cd3583df629373a66bed,"#malspam with .ace attachment (2.10.2017)
",TRUE
bddd2d9f1819afde3978a64edbf43561,"#fs0ciety #botnet (2.10.2017)
",TRUE
361ac30894a1cb6e2d0a4438f95ad8a5,"Packed #cerber #ransomware (2.10.2017)
",TRUE
cc4976626a1ec40f10dba34772c9d087,"Packed #cerber #ransomware (2.10.2017)
",TRUE
dad3ffa0f310293a1712b5d258ebcb42,"#njRAT aka #Bladabindi packed with SFX (2.10.2017)
",TRUE
dedd36a6314e91daa679c7250e489bcd,"#njRAT aka #Bladabindi bundled with #Sandboxie (2.10.2017)
",TRUE
8f3c4c17ed00bbae706c5124d362774c,"#Ransomware ext. .id-%X%_steaveiwalker@india.com_ (2.10.2017)
",TRUE
329572bc318403d2fe80ac7723699b81,"telegram stealer sample (2.10.2017)
",TRUE
2f460be90db9580468b1e0346520b0ac,"telegram stealer sample (2.10.2017)
",TRUE
b0aecb48821a18210a2838fbeed800f1,"#trickbot loader (2.10.2017)
",TRUE
4c1e2650a7d104b695a853f64a455cfa,"#trickbot loader (2.10.2017)
",TRUE
55ea728104e946a1dadf96cf80b86141,"Documents.doc download kool.jpg (2.10.2017)
",TRUE
96c57a11ae87d819843c102416103eb4,"#NetWire #RAT (2.10.2017)
",TRUE
0e95a9447bdf0ce22d20a4f55d763bc0,"sage-2-ransomware/ (2.10.2017)
",TRUE
123e1f26ad202496ccfeb7facf3adca2,"Gozi ISFB (2.10.2017)
",TRUE
e72c81c4a8a9755553c68db9ed81469f,"hancidoc pony zloader pony-like/cre/ (2.10.2017)
",TRUE
26dd5239d8a2e8d21ea2be88dff412ee,"hancidoc pony zloader pony-like/cre/ (2.10.2017)
",TRUE
5a05c515dc7fbc7a144c0eb929d7a9c0,"faking Samsung Magician (2.10.2017)
",TRUE
11db0fc2064d7c858067b99b413e357b,"#CerberTear (2.10.2017)
",TRUE
b73c6f97566b5523a203dfbf0a8b62b8,"French fake hacking tool (2.10.2017)
",TRUE
d7f36e68406c78581db782b13f6dc1a5,utorrent,TRUE
d0278fa8947ed54a112893f71917f46a,utorrent,TRUE
b629e4fbccc7208660aeda0a77b13090,utorrent,TRUE
9da1db4d8f373629d045c7371d2ed8ae,utorrent,TRUE
98b2c7d0dde704c7e3a8976d7ac9c95e,utorrent,TRUE
96aecdf6426711667657c05ec6d6ee75,utorrent,TRUE
87b98e8837e450291e6b572d100dcf08,utorrent,TRUE
8794862f41f810cb1aa841ecac4e6fea,utorrent,TRUE
6f0ffb002e147eb9bfa2784fef540e88,utorrent,TRUE
65b14e1803c1490547ed02a7d7ff8f5f,utorrent,TRUE
5fe59fc57869508e1c84812dbd36ce3b,utorrent,TRUE
501a7993d267174d87b8533c3a80dd7b,utorrent,TRUE
3bf63a28d9444f495037f2f013bb735a,utorrent,TRUE
3978831ad0f9b61b4e8fbbff21b2e365,utorrent,TRUE
31afabdb5e9560e014b14ea8ec1f3635,utorrent,TRUE
008f2fe191618133a68f1ac190dc6044,Banned from API,TRUE
8d4645c731eff74c32ad24c097e55f61,"worldoftanks.exe, wotlauncher.exe and wargaminggameupdater.exe gaming applications to be banned as per DavesE",TRUE
f186a974dfa8addbdc1088fadc5c0242,"worldoftanks.exe, wotlauncher.exe and wargaminggameupdater.exe gaming applications to be banned as per DavesE",TRUE
4dde884192ae6e5c2f001ddf81f81844,"worldoftanks.exe, wotlauncher.exe and wargaminggameupdater.exe gaming applications to be banned as per DavesE",TRUE
c8c19bf710536dbb740678e60d809095,"#Spawns a fake Word doc (2.2.2017)
",TRUE
42f84db89b5eac69bee8f8054cc85d04,"#hancidoc pony zloader (2.2.2017)
",TRUE
999e98ad39195722a474fd9a0256643a,"#ransom #python (2.2.2017)
",TRUE
fe3f283b5c787401ecad927fbfeeb3f6,"#ImminentMonitor (2.2.2017)
",TRUE
48d8b883f965be8c0d41615e29700f4e,"#DUMB #ransomware (2.2.2017)
",TRUE
1b6049ccf3e70f9c5e55ecbe8708ebff,"#Spora #ransomware (2.2.2017)
",TRUE
3dd83f06f2cd026ccb9d233422aa0a83,"#Spora #ransomware (2.2.2017)
",TRUE
c11519338b16d7219ceaa4da8461be68,"#Spora #ransomware (2.2.2017)
",TRUE
4469416157594dba74e441947dc7923d,"#SchwarzeSonne backdoor (2.2.2017)
",TRUE
c62fca7674138aec7ab82b89275b980b,"#Orcus (2.2.2017)
",TRUE
5aed3d90be1ba9677d4f9295d8009c8b,"#LuminosityLink (2.2.2017)
",TRUE
0f633e27f10658af6023eb8c156a2b42,"#LuminosityLink (2.2.2017)
",TRUE
e9630bfd802d4485952737180cf8b4cd,"#LuminosityLink (2.2.2017)
",TRUE
f740966a88ce9d21d860764fc8ee5afa,"#LuminosityLink (2.2.2017)
",TRUE
fcf4f7fdce4bc49f307e048b13936d1f,"#DynAmite 4.0 malware creation toolkit (2.2.2017)
",TRUE
49dc053294c69e2892e1e353b5750de7,"#Cerber #ransomware (2.2.2017)
",TRUE
f4da6990020d9b0c65f49e8fe774f542,"#Cerber #ransomware (2.2.2017)
",TRUE
01e06698e5b6a35de3a36cf9e572666f,"#Cerber #ransomware (2.2.2017)
",TRUE
369cbdb6810992e66e5162d578f1e90f,"#Pony #malware (2.2.2017)
",TRUE
100755642aed63bacf0500c058d4dde0,Transfer advice - AA900015531000 (2.1.2017),TRUE
cc882e0f288b8996bfa66cda9a27e137,"#CRYPTOSHIELD (2.1.2017)
",TRUE
49af0845db502e6965aa54ae5d35dd9d,"#locky (2.1.2017)
",TRUE
75aaf793c7ce982d4e6929433cafb16a,"#nemucod (2.1.2017)
",TRUE
972a68ed4c0a68f9d356a1a509013f55,"#malware #spy (2.1.2017)
",TRUE
a8804967072f37d0a914a9861a753dfb,"#malware #spy (2.1.2017)
",TRUE
b04df81f684be510a87ebc3ec0c80389,"#191860.webhosting63.1blu.de (2.1.2017)
",TRUE
c2eb8a235fac6dfa3106c535115f8d23,"#Jigsaw #Ransomware (2.1.2017)
",TRUE
9eb20362417312c0028cfb0b49551817,"#hancidoc pony zloader (2.1.2017)
",TRUE
60ac6517035226ff98c8032b19b46f47,"#Bladabindi/njRAT CnC (2.1.2017)
",TRUE
547aab1c768b17f14bcd15d826b864a7,"#brasilian #malware (2.1.2017)
",TRUE
e5ba37c60ceaa4278424d7a3765260f0,"#brasilian #malware (2.1.2017)
",TRUE
5cc218cd1d2d39b8f209837b63fea314,"#HawkEye #nigerian #fraud (2.1.2017)
",TRUE
31a382625a29068bd912bdbe6de17ab5,"#hawkeye #malware (2.1.2017)
",TRUE
db97bde26f6b7ade33c9ac3803abc4f3,"#CryptoShield (2.1.2017)
",TRUE
c3122883e7c062b0f967450f049fc76d,#Andromeda (2.1.2017),TRUE
4435d723aa710453c88d7b70b450fb0c,#ransomware,TRUE
e8762561ca8b7663fb125e13fc1fe2c4,#ransomware,TRUE
9707772a6d21169bb7661dead34b99af,#ransomware,TRUE
4205cce38e5b3c9cc2268d761023a1ac,#ransomware,TRUE
dbe2d301bbc22e937eec55cedd9e6b73,#ransomware,TRUE
69b364f809727645c7aed0705b4f4258,"#spy (1.31.2017)
",TRUE
ca0fb1e40a749e0714c1b4133653f603,"#spy (1.31.2017)
",TRUE
63d4e4dac57bd7d2059587eba4162652,"SureRansom ransomware (1.31.2017)
",TRUE
40e8cf02300086172f784f3d63c1baf6,"ancidoc pony zloader (1.31.2017)
",TRUE
dd3bcfee927f3b449ff65ee94bec05a1,"#Pony (1.31.2017)
",TRUE
9311141c205a737cdbf72d85e934ce0b,"Cerber (1.31.2017)
",TRUE
085ac20728c312c5f12c4730b3cc2c4f,"#trickbot (1.31.2017)
",TRUE
a9bc6109b9313183b5679a3a5ee1392e,"#spy #banker C2 (1.31.2017)
",TRUE
eab6740a978cd92b31c6a0986f46c5c7,"#spy #banker C2 (1.31.2017)
",TRUE
488065603e282d8b309e9480d3fbaf4c,"#spy #banker C2 (1.31.2017)
",TRUE
23b263bd44f3019f4d1a39cd3b3cb610,"#gear #informer #spy (1.31.2017)
",TRUE
15047b3713dc610115d66bced476eeb1,"#gear #informer #spy (1.31.2017)
",TRUE
6f8d5f5e3c83176c78f3f6617062178c,"#gear #informer #spy (1.31.2017)
",TRUE
6d0346100f6ced71b7b50591cda13904,"Ransomware (1.31.2017)
",TRUE
18c0f359109dfc9c3ab3d6fb748b18f0,"Ransomware (1.31.2017)
",TRUE
3be99c4f010dfea1ec62a61c08b82b27,"#njRat C2 (1.31.2017)
",TRUE
b646392b34404c981a28b72b8ed653d0,Cryptolocker3 (1.31.2017),TRUE
cb4ab17468984f1b292adac9f745cb2b,Cryptolocker3 (1.31.2017),TRUE
a671ed6aa2e616958863e4d42f692f05,"Spora ransomware (1.30.2017)
",TRUE
13604e19ebbd95974841a789d60f9859,"Plasma RAT (1.30.2017)
",TRUE
23953b88c9e782461aeb60037cd4fc4f,"Fake hacking tool (1.30.2017)
",TRUE
729871063d04ce837b6b65a57f4a2153,"#RansomPlus #Ransomware (1.30.2017)
",TRUE
a512516e5001510634be8def3ed73d11,"#fake #norton (1.30.2017)
",TRUE
ec66d8893423b18d1f8a5effbfd1b143,"Vietnamese infostealer (1.30.2017)
",TRUE
dd4553867405c75f77e598f7deb5f972,Trojan #Banker (1.30.2017),TRUE
3dac11aeff9ac627ddbeef19f9ff0a16,"Cerber (1.30.2017)
",TRUE
b8edf877521046bf607d7d1d47462dbb,"Cerber (1.30.2017)
",TRUE
fb436eeb13a673a30cbadbf781db4add,Hancitor (1.27.2017),TRUE
be3a8a8956cc4d188f89dccd96aded1d,Pony Swift (1.27.2017),TRUE
e0e651f158777ce58a293fb5f46e35a9,Cerber (1.27.2017),TRUE
f9d7efc9b83f8e73ebccea300e3ae965,Cerber (1.27.2017),TRUE
ce1d27e1b2eb277beda93b77e0b3da94,Cerber (1.27.2017),TRUE
d58f9ef872334f68abf7c720d7042fd5,Cerber (1.27.2017),TRUE
394512170eb0280000996472229492e3,Cerber (1.27.2017),TRUE
f31b7037fe1d8f06a0679fe8f3b4c4dd,Cerber (1.27.2017),TRUE
01419602f4408cf1aecfe9f879a32bee,Hancitor/Pony/Vawtrak (1.27.2017),TRUE
18408b560e5e67ea0fa886da3df2cd9d,Ransomware (1.27.2017),TRUE
50d3c9a61a383f9bbae90f0dbf79acf7,Ransomware (1.27.2017),TRUE
d10d14c687ac8fd77e1d1279d86d1761,Ransomware (1.27.2017),TRUE
d59ee85febb16901972294cf9bcbd717,Ransomware (1.27.2017),TRUE
8cbb913eb624b1eafb1945d8d2521e08,Locky (1.27.2017),TRUE
55b88ae24dcea4647ce5517fd5911802,Locky (1.27.2017),TRUE
6d8908dec88558fd0ca40c58dd519580,Locky (1.27.2017),TRUE
5a0cee2226221e319fe87a724f2a377b,"EncryptRansombyhumanpuff69 (1.26.2017)
",TRUE
d99d0fc1d5bf06cd2b49faaf03842e85,"Spora (1.26.2017)
",TRUE
3df531c9b5166a3e870a6202e9c97324,"XMAS (1.26.2017)
",TRUE
c94ad818eaf06759f8e14f614e892271,Andromeda (1.26.2017),TRUE
e1f7a506f1478df87701624cfc3c8cad,Sage ransomware (1.26.2017),TRUE
100bbdb6789e3e95e616e43061726099,njRat (1.26.2017),TRUE
e4ac94704d711f1efc7208df6cc89bf8,LuminosityLink (1.26.2017),TRUE
28da6a17e9cadbd12961fccd20946dc1,LuminosityLink (1.26.2017),TRUE
a5f13f85014ef0fbdef580906b2db77f,Cerber (1.25.2017),TRUE
ab8826674f278b8e6fba31a14187a44b,Malasypt ransomware (1.25.2017),TRUE
8f3bede45dcb70a445c5140b3dd2913e,"Zeus variant Trojan (1.25.2017)
",TRUE
2109bbc0085c6963a236ff4bddf96cc0,"Zeus variant Trojan (1.25.2017)
",TRUE
b448453b7f2d7758c6e2b6c0a22b0c6c,ursnif banking trojan (1.25.2017),TRUE
2cc382d13c71e1cfd2be4146fca124ea,Sage ransomware (1.25.2017),TRUE
cffeb77be6d9f39a6ece669be9626af9,Sage ransomware (1.25.2017),TRUE
67526df5413c58c145bc2e36536ae67f,Cerber (1.25.2017),TRUE
fb6ff71e2d93f5b6a66774ba0be046ca,Vxlock ransomware (1.25.2017),TRUE
67ebcd5c61905474441aeaadfe9575bb,CryptoMix (1.25.2017),TRUE
fed7a68f9a07cb0d7de71908ba09bc92,CryptoMix (1.25.2017),TRUE
3e21de15034ba2d2c4db0856ae01658d,"Karma Ransomware (1.25.2017)
",TRUE
663c5d199ee4b0009769a7672ba54c7b,hancidoc pony pony-like-thing terdot (1.25.2017),TRUE
f9373dc232028da52ad33b017e33bbd3,hancidoc pony pony-like-thing terdot (1.25.2017),TRUE
efe8892a10039122dcc4a6d58f906765,hancidoc pony pony-like-thing terdot (1.25.2017),TRUE
9ee81d7f73aac2d31a87cf06e7b62034,tor.exe,TRUE
c74cf2ce98fb35c89de237203e7b52b8,Nemucod (1.23.2017),TRUE
ab4117a64545f70b1d3796813301f350,Nemucod (1.23.2017),TRUE
2386e6bafded8265d73dea45924b272d,TuLock (1.23.2017),TRUE
0061f7dfda4c23ac044306ddfaae9256,TuLock (1.23.2017),TRUE
44941489b16a37d5b2909d201d52cdf4,"Crypto.Key = ""JewsDid911"" (1.23.2017)",TRUE
7f35dce8d7072f8acd216e0a205cd7eb,Cerber (1.23.2017),TRUE
35c0f9005b4848d467ff49ae40782e7d,Cerber (1.23.2017),TRUE
ec52bb7741cccc3cdb6655bbe75f8320,Cerber (1.23.2017),TRUE
8a3f876021ccb627fe9beeaed45159c6,ISR Stealer (1.23.2017),TRUE
216ca65ab4e45f62e1feb9ec72cadaf0,ISR Stealer (1.23.2017),TRUE
bb266dc5dede36e0d96e4f55b76f016e,ISR Stealer (1.23.2017),TRUE
00763030acb828eeb71ed7e8d8295fd9,None,FALSE
59e789abb4c473ee45c70860952eba32,None,FALSE
50f0fde65936796908d04c0631e2770a,None,FALSE
c99149e22f607dddde2f984965f271ff,None,FALSE
698c65eddf32b7eebf4d584d37ce3706,None,FALSE
c4b4090a1049aa94c6b2f942ee39f0f4,None,FALSE
14c4d3c51adaf94c5a0538fa4393a9e9,None,FALSE
9484659c59d5c35565c26d3d16cbc918,None,FALSE
a8c9943ca24a50100496d8700354646c,None,FALSE
54cd4d44ae8a36001e3ff00ca066fd0a,None,FALSE
2e763b38d3f7918f0131fcb33ee3c079,None,FALSE
6355ad312756f6ea243e090db7abac5b,None,FALSE
cc31728f6200d2335442ac67aa782f2e,None,FALSE
6e74328f7ac997cfaafe87e70e5a477b,None,FALSE
425e0923cf2187ffeb3947e89c9e6e57,None,FALSE
920528d60b4c55884ef7c18b0ba22147,None,FALSE
3cebc68cf96f3305a4e3ecee307081e1,None,FALSE
9c7a41fbe431a41bfdf933436c846858,None,FALSE
5f897b051235b788e52927e8eec07669,None,FALSE
dae430970b35478f3bfcdb8b06344efa,None,FALSE
acc895318408a212b46bda7ec5944653,None,FALSE
e134cc159fc2c4f65157070f498e9b28,None,FALSE
fd2f9c1651f9f4220cdce9620ed3c70d,None,FALSE
0f70a4db709698299ef322295e5a7bc0,None,FALSE
372a7c85b2e4ac3c1f54f8e08b04f827,None,FALSE
8f46fde2f28b69cf48bd13cc724a67ff,None,FALSE
743a38fda742b2da193851a83e90c59b,None,FALSE
c2ed5b0eea4e4bf833e1a5549bde2024,None,FALSE
b3a17f4ec0e5ea0f406884c69afdd676,None,FALSE
a1aa1c65a55d2b9561d1531858d73f88,None,FALSE
3378553fba0e91391892179302a42700,None,FALSE
b9d81c51c10abd64107edc5e73a26aea,None,FALSE
10fbbd770bd1fd14377a896daf25415a,None,FALSE
6d1df7cd5aaad7e1c33008d945231e4c,None,FALSE
92d5c3366a9a6c47afbeaed36060a3eb,None,FALSE
60cdbe973a90d3a92be076df4c86f51e,None,FALSE
6d2c89b9b30cb3c4ec68470a3b7b11f8,None,FALSE
f9b71e9f205388eac950faec6a904a66,None,FALSE
169ec283f2176ffefb520a77ae083f71,None,FALSE
df77d5744d42a617a5d420b081d5ce85,None,FALSE
0051ccc7e381a578919cfe7d10c1fea9,None,FALSE
1b21b27589ddc173ba795213e108a096,None,FALSE
c6319a61a82f71c7ffdc6942a3f50bfb,None,FALSE
44de4c4bf73940f531666535cb57f77b,None,FALSE
e83f00d377ed5ef9be1af5be54b9f5af,None,FALSE
91a8e793b000827442e4769c830089cb,None,FALSE
7907f76133e72f12f50bde28664f5478,None,FALSE
01c5d79ddb4e15d462542a432b99d4a5,None,FALSE
d8e99fcae9a469c2081e7ff01675c361,None,FALSE
b4bdbc4903458b324899783b4ad3d530,None,FALSE
160062c78faf890d33cfe05f933d9f83,None,FALSE
e667401979370a242e2fcdd16eb988d4,None,FALSE
ef40e225a1d71fff82a74ac300e2a3db,None,FALSE
033c7a32eb1db9fc6a32280cc22436d8,None,FALSE
19bfb2e499cf45f02d0cda04e4fcb086,cerber (1.20.2017),TRUE
6ddf36ee8dddfc1fce8d18f13e530cb4,cerber (1.20.2017),TRUE
e365fdbecaedffb6c42c0cb2188965f6,cerber (1.20.2017),TRUE
d12e09c4abee910f0fc463d5b28d6042,cerber (1.20.2017),TRUE
d6742d2a3458b56941ca64ea080d47f5,cerber (1.20.2017),TRUE
3777b7eff7556e04e29d9e228b257a0a,cerber (1.20.2017),TRUE
46d613135ecca1f1ae88fae2b9fe73d8,cerber (1.20.2017),TRUE
55466ce696573eac5daee735a21fc45e,cerber (1.20.2017),TRUE
c646fb9f45ff8e6d29b2a7aef0b0e831,cerber (1.20.2017),TRUE
af1e3763309268e02a259ed194597489,cerber (1.20.2017),TRUE
727ae719b3e9f75152aad87f8fbe553a,cerber (1.20.2017),TRUE
e34c7a38c8bf5e9a35d20962ddb87963,cerber (1.20.2017),TRUE
6e90ebf86ab0373f7b76f1377f8ed2f3,tor browser from torbrowser-install-6.0.8_en-us.exe,TRUE
5d38b85436b41a730c65cdf7c2dfe2c4,ITW Phishing Attachments - 1/19/2017,TRUE
cfe0e8b2cf9014491b4719626facfbf2,ITW Phishing Attachments - 1/19/2017,TRUE
62cfd5f9a600809c9e53ea089920d988,"FleerCivet.  Chrome Users Targeted with Malware via New ""Font Wasnt Found"" Technique. (1.18.2017)",TRUE
7b9aae9a506fc9e19cc127b5c74bfba1,"FleerCivet.  Chrome Users Targeted with Malware via New ""Font Wasnt Found"" Technique. (1.18.2017)",TRUE
f9e1f0083e0e42833c5dfa7faa4a0281,"FleerCivet.  Chrome Users Targeted with Malware via New ""Font Wasnt Found"" Technique. (1.18.2017)",TRUE
b9ec73f2406d87f69a6c8dfc46ed3a28,"FleerCivet.  Chrome Users Targeted with Malware via New ""Font Wasnt Found"" Technique. (1.18.2017)",TRUE
219ba2ee0bcdb23bf89079ac97730d57,Avira (no cloud) TR/Spy.Gen - as per DavesE,TRUE
a3acfe36ee6fdf5498b049e3ba4ef526,"tor.exe, with approval from DavesE",TRUE
beb5d03f402468f298cb3864e57bd046,tor.exe found on different machines. as per DavesE,TRUE
0a1a5dad433b89b7b4c3997e90e42d55,tor.exe found on different machines. as per DavesE,TRUE
cddffc7352a78c1b159907a67d7d2a77,tor.exe found on different machines. as per DavesE,TRUE
26fbca78d0a1d8461774715825e5c4cd,tor.exe found on different machines. as per DavesE,TRUE
89b20eebb078d568a75478273cce0813,tor.exe found on different machines. as per DavesE,TRUE
e8d38a8233ea558fca389a1133f5b04b,tor.exe found on different machines. as per DavesE,TRUE
